stimulus_name,stimulus,stimulus_type,order_age,trial_num_exp,order_name
ol_sa_modi_nonoise_look,1b3bb307449e6a579ab8573807e1179f_1920x1080,Composite,adult,8,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_hey,aed6fb4909863f2eda63642d81d484be_1920x1080,Composite,adult,9,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_hey,188cbff176f45747f0997e0052469989_1920x1080,Composite,adult,10,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_look,5da256608a83d7ce40a2951ff2c1fb53_1920x1080,Composite,adult,11,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_look,0e80eaf59a20c4fa819f284c1349f98f_1920x1080,Composite,adult,12,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_hey,60acb87f6a3488e8071629d7e06ef8b2_1920x1080,Composite,adult,13,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_hey,62d37789dd4357b8c2250e9d97c6799f_1920x1080,Composite,adult,14,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_look,5ae84dd9e3056cb0f056f69a602e817a_1920x1080,Composite,adult,15,nogaze_gaze_ol_gr
ol_sa_toma_nonoise_look,3ca0b169cba7e5ea3537a74ac6a58c32_1920x1080,Composite,adult,16,nogaze_gaze_ol_gr
gr_sa_bottle_nonoise_look,55f8a87d3ed59128c19691c971d72f32_1920x1080,Composite,adult,16,nogaze_gaze_ol_gr
gr_dr_pifo_nonoise_hey,ab7763efc88dca72264e2b40d84115a2_1920x1080,Composite,adult,17,nogaze_gaze_ol_gr
gr_sa_pifo_nonoise_hey,fcfa1354c41378d651764b21be9365dd_1920x1080,Composite,adult,18,nogaze_gaze_ol_gr
gr_dr_pifo_nonoise_look,5b7de9b6aef8716a18d338ba48d4f8ed_1920x1080,Composite,adult,19,nogaze_gaze_ol_gr
gr_sa_pifo_nonoise_look,4f1cb4ec7966c379066e45a248846b6e_1920x1080,Composite,adult,20,nogaze_gaze_ol_gr
gr_dl_pifo_nonoise_hey,016529f07d848fa745e9b8d82cff371f_1920x1080,Composite,adult,21,nogaze_gaze_ol_gr
gr_sa_pifo_nonoise_hey,32b1931535cd1ea5da595c4cb27aaaa5_1920x1080,Composite,adult,22,nogaze_gaze_ol_gr
gr_dr_pifo_nonoise_look,6da80d8ebd1a642586e9654e795f0700_1920x1080,Composite,adult,23,nogaze_gaze_ol_gr
gr_sa_pifo_nonoise_look,cad75ddde5147b169479158e6a09f9ac_1920x1080,Composite,adult,24,nogaze_gaze_ol_gr
gr_dr_bosa_nonoise_hey,34694e53df2cd2910ed8f00c2389c624_1920x1080,Composite,adult,25,nogaze_gaze_ol_gr
gr_sa_bosa_nonoise_hey,88b929863fc982273476b1cd3c1d00f8_1920x1080,Composite,adult,26,nogaze_gaze_ol_gr
gr_dr_bosa_nonoise_look,427f9b2ea5f361959a5d105d4e8161ae_1920x1080,Composite,adult,27,nogaze_gaze_ol_gr
gr_sa_bosa_nonoise_look,3b4c12eb79ec389457192f61202b840b_1920x1080,Composite,adult,28,nogaze_gaze_ol_gr
gr_dl_bosa_nonoise_hey,c4c4528dfff7d58ead60c245dcaff196_1920x1080,Composite,adult,29,nogaze_gaze_ol_gr
gr_sa_bosa_nonoise_hey,b59e60af9e8c98f69208c8b418958e30_1920x1080,Composite,adult,30,nogaze_gaze_ol_gr
