time_ms_normalized,gaze_condition,trial_type,age_category,target_looking,m,n
2013,straight_ahead,exposure,children,distracter,0.3261904761904762,47
2013,straight_ahead,exposure,children,target,0.33275075987841946,47
2013,straight_ahead,exposure,adults,center,0.16626984126984126,30
2013,straight_ahead,exposure,adults,distracter,0.1125,30
2013,straight_ahead,exposure,adults,target,0.7212301587301587,30
2013,straight_ahead,test,children,center,0.37386018237082064,47
2013,straight_ahead,test,children,distracter,0.2806737588652482,47
2013,straight_ahead,test,children,target,0.3454660587639311,47
2013,straight_ahead,test,adults,center,0.16461412151067323,29
2013,straight_ahead,test,adults,distracter,0.062192118226600986,29
2013,straight_ahead,test,adults,target,0.7731937602627258,29
2046,gaze,exposure,children,center,0.6028726708074534,46
2046,gaze,exposure,children,distracter,0.13993271221532091,46
2046,gaze,exposure,children,target,0.2571946169772257,46
2046,gaze,exposure,adults,center,0.27204433497536945,29
2046,gaze,exposure,adults,distracter,0.05028735632183908,29
2046,gaze,exposure,adults,target,0.6776683087027915,29
2046,gaze,test,children,center,0.35743386243386244,45
2046,gaze,test,children,distracter,0.24563492063492062,45
2046,gaze,test,children,target,0.3969312169312169,45
2046,gaze,test,adults,center,0.1619047619047619,30
2046,gaze,test,adults,distracter,0.029166666666666667,30
2046,gaze,test,adults,target,0.8089285714285714,30
2046,straight_ahead,exposure,children,center,0.3492401215805471,47
2046,straight_ahead,exposure,children,distracter,0.31403242147923,47
2046,straight_ahead,exposure,children,target,0.3367274569402229,47
2046,straight_ahead,exposure,adults,center,0.15595238095238095,30
2046,straight_ahead,exposure,adults,distracter,0.12738095238095237,30
2046,straight_ahead,exposure,adults,target,0.7166666666666667,30
2046,straight_ahead,test,children,center,0.3801418439716312,47
2046,straight_ahead,test,children,distracter,0.27196048632218844,47
2046,straight_ahead,test,children,target,0.34789766970618036,47
2046,straight_ahead,test,adults,center,0.1834975369458128,29
2046,straight_ahead,test,adults,distracter,0.05788177339901478,29
2046,straight_ahead,test,adults,target,0.7586206896551724,29
2079,gaze,exposure,children,center,0.6056677018633541,46
2079,gaze,exposure,children,distracter,0.1331262939958592,46
2079,gaze,exposure,children,target,0.26120600414078676,46
2079,gaze,exposure,adults,center,0.25422824302134645,29
2079,gaze,exposure,adults,distracter,0.06559934318555008,29
2079,gaze,exposure,adults,target,0.6801724137931034,29
2079,gaze,test,children,center,0.36664021164021166,45
2079,gaze,test,children,distracter,0.24658730158730158,45
2079,gaze,test,children,target,0.38677248677248677,45
2079,gaze,test,adults,center,0.17638888888888887,30
2079,gaze,test,adults,distracter,0.029166666666666667,30
2079,gaze,test,adults,target,0.7944444444444444,30
2079,straight_ahead,exposure,children,center,0.3557750759878419,47
2079,straight_ahead,exposure,children,distracter,0.31137284701114487,47
2079,straight_ahead,exposure,children,target,0.33285207700101316,47
2079,straight_ahead,exposure,adults,center,0.1625,30
2079,straight_ahead,exposure,adults,distracter,0.12281746031746031,30
2079,straight_ahead,exposure,adults,target,0.7146825396825397,30
2079,straight_ahead,test,children,center,0.36648936170212765,47
2079,straight_ahead,test,children,distracter,0.3000253292806484,47
2079,straight_ahead,test,children,target,0.3334853090172239,47
2079,straight_ahead,test,adults,center,0.18126984126984128,30
2079,straight_ahead,test,adults,distracter,0.06095238095238095,30
2079,straight_ahead,test,adults,target,0.7577777777777778,30
2112,gaze,exposure,children,center,0.5991977225672878,46
2112,gaze,exposure,children,distracter,0.12828674948240165,46
2112,gaze,exposure,children,target,0.27251552795031053,46
2112,gaze,exposure,adults,center,0.230623973727422,29
2112,gaze,exposure,adults,distracter,0.07196223316912972,29
2112,gaze,exposure,adults,target,0.6974137931034483,29
2112,gaze,test,children,center,0.3867195767195767,45
2112,gaze,test,children,distracter,0.23843915343915342,45
2112,gaze,test,children,target,0.37484126984126986,45
2112,gaze,test,adults,center,0.18523809523809523,30
2112,gaze,test,adults,distracter,0.029166666666666667,30
2112,gaze,test,adults,target,0.7855952380952381,30
2112,straight_ahead,exposure,children,center,0.36580547112462003,47
2112,straight_ahead,exposure,children,distracter,0.31555217831813576,47
2112,straight_ahead,exposure,children,target,0.31864235055724416,47
2112,straight_ahead,exposure,adults,center,0.1738095238095238,30
2112,straight_ahead,exposure,adults,distracter,0.11488095238095238,30
2112,straight_ahead,exposure,adults,target,0.7113095238095238,30
2112,straight_ahead,test,children,center,0.3729989868287741,47
2112,straight_ahead,test,children,distracter,0.2923758865248227,47
2112,straight_ahead,test,children,target,0.33462512664640326,47
2112,straight_ahead,test,adults,center,0.17651888341543515,29
2112,straight_ahead,test,adults,distracter,0.06075533661740558,29
2112,straight_ahead,test,adults,target,0.7627257799671593,29
2145,gaze,exposure,children,center,0.6024068322981366,46
2145,gaze,exposure,children,distracter,0.13436853002070392,46
2145,gaze,exposure,children,target,0.2632246376811594,46
2145,gaze,exposure,adults,center,0.22385057471264366,29
2145,gaze,exposure,adults,distracter,0.06765188834154351,29
2145,gaze,exposure,adults,target,0.7084975369458129,29
2145,gaze,test,children,center,0.40179894179894177,45
2145,gaze,test,children,distracter,0.22275132275132276,45
2145,gaze,test,children,target,0.3754497354497354,45
2145,gaze,test,adults,center,0.17261904761904762,30
2145,gaze,test,adults,distracter,0.026984126984126982,30
2145,gaze,test,adults,target,0.8003968253968254,30
